Designator,Mid X,Mid Y,Layer,Rotation
U8,38.1958,76.1438,Top,0
C64,32.2000,72.6000,Bottom,180
U6,38.6750,105.6500,Top,270
TVS6,59.2241,92.8090,Top,180
TVS5,64.0991,92.8090,Top,180
TVS4,93.5991,49.7090,Top,180
J2,78.9017,38.2700,Top,180
TVS3,71.5991,49.7090,Top,180
TVS2,65.0741,49.6840,Top,180
TVS1,43.0991,49.6840,Top,180
R59,69.9250,83.8500,Top,270
C70,69.1750,81.8000,Top,0
X2,32.0500,64.7500,Top,180
X1,56.6500,57.7250,Top,90
USB1,38.9500,111.6250,Top,180
U7,103.7750,64.2250,Top,0
U5,98.5500,63.2750,Top,180
U4,77.5250,87.9750,Top,0
U3,68.4000,64.1000,Top,90
U2,75.9892,105.9548,Top,270
U1,102.1250,109.1752,Top,90
SW1,27.8000,86.3741,Top,270
RST1,97.7250,69.1391,Top,270
R58,27.0500,82.6500,Top,0
R57,28.4000,64.2750,Top,90
R56,50.4000,69.5000,Top,180
R55,50.4000,71.7000,Top,180
R54,50.4000,70.6000,Top,180
R53,46.9000,87.5000,Top,180
R52,49.1250,88.9000,Top,270
R51,43.4250,88.9000,Top,270
R50,40.7000,105.8750,Top,90
R49,36.7000,105.9000,Top,90
R48,104.5500,62.0750,Top,0
R47,34.4000,104.5250,Top,270
R46,78.5250,93.9750,Bottom,90
R45,77.6750,97.5000,Top,90
R44,75.7750,93.4000,Top,90
R43,80.7000,97.5000,Top,270
R42,75.7750,83.2250,Top,180
R41,80.0250,93.9750,Bottom,90
R39,91.8495,81.4749,Top,90
R38,89.8494,81.4749,Top,90
R37,90.8494,81.4749,Top,90
R36,88.8500,81.4750,Top,90
R35,81.8495,81.4749,Top,90
R34,79.2000,97.5000,Top,90
R33,83.8495,81.4749,Top,90
R32,85.8500,81.4750,Top,90
R31,86.8500,81.4750,Top,90
R30,76.1750,97.5000,Top,90
R29,87.8494,81.4749,Top,270
R28,84.8494,81.4749,Top,270
R27,82.8495,81.4749,Top,270
R26,80.8495,81.4749,Top,270
R25,52.3000,72.4500,Top,270
R24,63.4500,61.1000,Bottom,180
R23,46.8250,66.7250,Top,270
R22,56.6500,61.2250,Top,0
R21,101.0750,52.9250,Top,90
R20,99.5750,52.9250,Top,90
R19,79.9500,52.9250,Top,90
R18,78.4500,52.9250,Top,90
R17,52.6000,49.5000,Top,90
R16,51.1000,49.5000,Top,90
R15,66.9000,74.0000,Top,270
R14,31.2000,49.4000,Top,90
R13,68.0000,74.0000,Top,270
R12,29.6000,49.3000,Top,90
R11,69.1000,74.0000,Top,270
R10,70.2000,74.0000,Top,270
R9,71.3000,74.0000,Top,270
R8,72.4000,74.0000,Top,270
R7,65.8000,74.0000,Top,270
R6,75.7000,58.7000,Top,270
R5,64.3250,72.2500,Top,90
R4,75.5250,102.9500,Top,180
R3,84.6500,108.5500,Top,270
R2,78.3250,101.4500,Top,180
R1,75.5250,101.4500,Top,180
P1,105.9000,91.9000,Top,90
L2,84.3250,92.0250,Bottom,0
L1,75.9770,111.3790,Top,0
J5,57.9150,105.2550,Top,0
J4,99.7300,38.2700,Top,180
J3,58.0733,38.2700,Top,180
J1,37.2450,38.2700,Top,180
FB7,32.9000,106.0250,Top,270
FB6,83.6000,89.7000,Bottom,180
FB5,73.0500,84.8500,Bottom,180
FB4,75.6500,67.3500,Bottom,90
FB3,61.8500,57.0000,Bottom,0
FB2,71.1500,59.4000,Bottom,0
FB1,74.4000,71.1250,Bottom,180
D8,46.8751,89.2501,Top,180
D7,31.6500,110.0250,Top,270
D6,106.8000,62.8250,Top,90
D5,68.6500,83.9000,Top,270
D4,56.4250,63.2000,Top,180
D3,82.9750,108.8000,Top,90
D2,103.7959,83.6036,Top,0
D1,97.9465,85.7709,Top,90
C69,29.4500,64.2750,Top,270
C68,35.0000,65.2000,Top,90
C67,37.4250,66.6000,Top,90
C66,43.8500,72.4000,Bottom,0
C65,43.8500,70.9750,Bottom,0
C63,34.4500,81.2500,Bottom,90
C62,43.3000,79.9000,Bottom,0
C61,39.6250,70.6250,Bottom,270
C60,34.2312,70.7196,Bottom,270
C59,44.6250,87.6000,Top,90
C58,30.9000,105.2750,Top,0
C57,30.9000,106.7750,Top,0
C56,101.3000,63.7250,Top,90
C55,104.2500,66.4000,Top,0
C54,95.8750,63.7750,Top,270
C53,68.5000,99.3000,Top,270
C52,83.6000,84.2000,Bottom,180
C51,87.8250,92.6750,Bottom,180
C50,87.8250,91.3250,Bottom,180
C49,82.9250,86.2750,Bottom,90
C48,84.4250,86.2750,Bottom,90
C47,83.6000,88.3000,Bottom,180
C46,73.4000,91.3000,Bottom,0
C45,73.8000,82.8500,Bottom,90
C44,75.7750,92.7250,Bottom,0
C43,76.0250,86.9750,Bottom,180
C42,76.0250,88.9750,Bottom,180
C41,71.0250,84.1250,Bottom,90
C40,72.4250,82.8250,Bottom,90
C39,79.0250,87.6250,Bottom,0
C38,79.0250,89.3500,Bottom,0
C37,59.1750,57.0750,Top,270
C36,56.6500,60.2250,Top,180
C35,101.1500,40.3750,Bottom,180
C34,98.3250,47.8250,Bottom,0
C33,58.7250,39.7750,Bottom,90
C32,56.6750,48.0250,Bottom,0
C31,110.5000,44.8000,Top,90
C30,68.5000,44.8000,Top,90
C29,73.4000,66.6000,Bottom,0
C28,63.4500,65.3500,Bottom,180
C27,68.8750,67.3750,Bottom,180
C26,73.4000,65.2000,Bottom,0
C25,64.0000,59.1000,Bottom,270
C24,62.6000,59.1000,Bottom,270
C23,80.3000,40.4250,Bottom,180
C22,77.5250,47.9750,Bottom,0
C21,37.9250,39.7750,Bottom,90
C20,35.8750,48.0500,Bottom,0
C19,89.4000,44.8000,Top,90
C18,47.6000,44.8000,Top,90
C17,70.4000,61.4250,Bottom,270
C16,63.4500,62.5000,Bottom,180
C15,69.0000,61.4250,Bottom,270
C14,65.4000,59.1000,Bottom,270
C13,63.4500,63.9000,Bottom,180
C12,71.8250,69.1000,Bottom,90
C11,73.4000,62.2750,Bottom,0
C10,73.2000,69.1000,Bottom,90
C9,73.0250,104.2000,Top,270
C8,83.2750,112.8500,Top,270
C7,81.7750,112.8500,Top,270
C6,80.2750,112.8500,Top,90
C5,80.5250,104.7000,Top,90
C4,78.5250,104.7000,Top,90
C3,73.0250,106.9500,Top,270
C2,100.6250,103.5000,Top,0
C1,106.9000,104.3000,Top,90
